grb_name,episode,model_name,z,z_source,H0,Om0,Y_ratio,e_min_keV,e_max_keV,kt_bb_keV,kt_bb_err_lower_keV,kt_bb_err_upper_keV,f_bb,f_bb_err_lower,f_bb_err_upper,script_R,Gamma,Gamma_err_lower,Gamma_err_upper,r0_cm,r0_err_lower_cm,r0_err_upper_cm,r_ph_cm,r_ph_err_lower_cm,r_ph_err_upper_cm,r_s_cm,r_s_err_lower_cm,r_s_err_upper_cm,saturated_fraction,n_samples,seed
GRB131014A,TR2,SBPL_BB,3.4064603452898052,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,668.5389988044749,6.120427298449044,6.424184989991545,417434917.8168603,55766405.76269418,64151698.05152607,9636781644886.836,262703609511.85742,246844840399.35938,279264606245.72327,37355797456.61682,42659621870.52643,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,3.7494710466622787,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,714.2804041511944,6.5391866325404635,6.863727410366437,403027997.9251283,53841741.32715833,61937632.25276506,9940779725137.77,270990753073.83398,254631709539.54297,288074176422.6897,38534208583.02014,44005345332.02576,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,4.1270209263400925,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,763.6288230195498,6.990967920569119,7.337930669025582,387712802.4308946,51795737.57947683,59583982.006914675,10223720118541.219,278703853293.6797,261879188918.64648,296273515213.016,39630992179.22034,45257851681.06122,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,4.542587878258432,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,816.8628854322453,7.478322000706044,7.8494722026076715,371695718.4254168,49655966.401598215,57122465.030426025,10484632687508.645,285816463723.2324,268562428595.35742,303834508968.21936,40642387626.30969,46412846361.1911,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,5.000000000000001,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,874.2818158183037,8.003988251457258,8.401227345369989,355174708.99642944,47448874.28710866,54583504.43283701,10722843723405.469,292310218719.6289,274664171615.39453,310737634264.0394,41565783375.72092,47467347032.80652,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.5,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,275.3770727121161,6.902974554029186,8.146911622030814,5934735.583510468,1217038.21443287,1415141.2905175574,185666475110.80658,15980096600.868805,14140334019.327637,1635418875.9700212,323251891.19262195,378438842.4831376,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.5503470856261048,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,288.19063369238484,7.224176622604375,8.525995282996632,6238195.67613608,1279268.8772962447,1487501.533203343,204241125251.47424,17578795037.934845,15554976900.464111,1799031253.6836493,355591013.17266035,416299038.27006316,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.6057638293142942,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,301.9727206097379,7.56965707366345,8.93373236501651,6534305.832298797,1339992.286226713,1558109.1790926978,224166911528.77246,19293784183.764587,17072522129.83612,1974544937.4382946,390282510.89077353,456913217.48495317,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.666760716081662,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,316.8077497681969,7.941532000579343,9.372620287943107,6819388.884484092,1398454.3632501075,1626087.405367026,245440141899.09003,21124746268.47763,18692688521.894073,2161927406.3504276,427319956.36862516,500273854.7373996,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.7338996338110347,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,332.78646123914336,8.342076016839599,9.845343557551757,7089605.555441478,1453867.78649439,1690520.734043112,268035341847.37286,23069488730.32495,20413535940.963867,2360954271.484185,466658997.57570815,546329026.0277472,0.0,10000,12345
