grb_name,episode,model_name,t_start_s,t_stop_s,e_min_keV,e_max_keV,frame,kt_bb_keV,kt_bb_err_keV,f_bb,f_bb_err_lower,f_bb_err_upper,flux_bb_erg_cm2_s,flux_bb_err_lower_erg_cm2_s,flux_bb_err_upper_erg_cm2_s,flux_total_erg_cm2_s,flux_total_err_lower_erg_cm2_s,flux_total_err_upper_erg_cm2_s,bb_fraction_captured_in_band,z,z_source,H0,Om0,e_min_keV_rest,e_max_keV_rest,f_bb_rest,f_bb_rest_err_lower,f_bb_rest_err_upper,bb_fraction_captured_in_band_rest,n_samples,seed
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.8891397050194614,swept,69.6,0.286,1.0,10000.0,0.22772424245904244,0.014463457870016183,0.014964977702149135,0.9999997154287602,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.9786708907438301,swept,69.6,0.286,1.0,10000.0,0.22773554065160698,0.014463647623551956,0.014963769587830716,0.9999997520745939,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.077217345015942,swept,69.6,0.286,1.0,10000.0,0.22775183029554086,0.01446501165037098,0.014956383873922757,0.9999997854526956,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.1856868528308275,swept,69.6,0.286,1.0,10000.0,0.22776872815953428,0.014451400596003,0.014949926730881663,0.9999998155762967,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.3050786078412682,swept,69.6,0.286,1.0,10000.0,0.2277947598977917,0.014453044469695892,0.014939105962564841,0.9999998425148073,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.4364924166768323,swept,69.6,0.286,1.0,10000.0,0.22782053207111366,0.014444624483901769,0.014943247130978526,0.9999998663870354,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.5811388300841898,swept,69.6,0.286,1.0,10000.0,0.22786100760517514,0.014450465309625127,0.01493677968392318,0.9999998873529439,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.7403502942142053,swept,69.6,0.286,1.0,10000.0,0.22789723855678867,0.014428054378200772,0.014942304672414336,0.9999999056045492,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,1.9155934247786435,swept,69.6,0.286,1.0,10000.0,0.2279514748528491,0.01440830929235365,0.01492368816396658,0.9999999213565554,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,2.0,swept,69.6,0.286,1.0,10000.0,0.2279725825568341,0.014393469907116846,0.01492565661550177,0.9999999276824051,10000,668559939
