t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6
7.04,3925.3446000000035,321.4803968800358,3735.7899960347736,29.64255322578643,1.433351434411473e-11,0.9451242344966306,1.5515379514339582,1016.7306684730522,2686.92011214999
7.104,4082.7140999999983,325.31259947066656,3588.6287308669807,27.594085032722326,6.273488216113871e-12,0.8338957824720671,1.2965425257000065,945.0562323458433,2613.8479751802365
7.168,3451.805500000003,309.6435746699371,3447.8131465588062,25.686674877605274,2.728446434701166e-12,0.735714234015487,1.0833243454088466,878.2605154310686,2542.046917670705
7.232,3103.550799999999,300.61312802022985,3313.066872391698,23.91065629269266,1.179254655998458e-12,0.6490553638249345,0.9050652901812155,816.031916549499,2471.570178895499
7.296,3087.0857999999976,300.1649408631587,3184.1219863634806,22.257020784413612,5.065482806856798e-13,0.5725721325189408,0.7560545812857331,758.0761837789537,2402.460155086308
7.36,2677.5962999999974,289.2269891681435,3060.7194959983917,20.71737347989634,2.1626678216479608e-13,0.505074217603803,0.6315100451620549,704.1157944481685,2334.749743807561
7.424,3086.309000000002,300.1314024067173,2942.6096555646363,19.283891720029846,9.178010948917045e-14,0.4455098902933311,0.5274279959922492,653.8893026062574,2268.4635233520635
7.488,2613.6757,287.46262408860133,2829.5521484312853,17.94928640777202,3.87195744849632e-14,0.39294997212112187,0.4404572036184068,607.1506658431048,2203.618789004669
7.552,2502.8936000000003,284.40046126899495,2721.316158820737,16.70676593235877,1.6239353405921078e-14,0.34657363504230665,0.3677931208607424,563.6685612829019,2140.2264648495734
7.616,3102.3722999999964,300.5673063338985,2617.680353429399,15.550002501317854,6.7716637800098065e-15,0.30565583521449063,0.3070891438420726,523.2256988217255,2078.291907127299
7.68,2960.6763000000064,296.8367624493728,2518.432790186317,14.473100722783675,2.807645904573194e-15,0.2695561942243853,0.2563821863043906,485.61813818860384,2017.8156128944008
7.744,2407.987599999998,281.7577811138979,2423.3707687045935,13.4705682905733,1.1575528781918929e-15,0.23770916249991086,0.21403027788547851,450.65461514154924,1958.7938458320855
7.808,1856.6432000000018,265.9026906337908,2332.300634677139,12.537288633857719,4.745933413645867e-16,0.20961531829777585,0.1786602587143777,418.15588103443787,1901.2191894318314
7.872,2503.682500000001,284.4586929545071,2245.03754851238,11.668495402070956,1.9351514796549866e-16,0.18483367223495628,0.14912394858174743,387.9540590801818,1845.0810364093106
7.936,2596.671900000001,286.9842410803638,2161.4052268437713,10.859748663977788,7.847847255594366e-17,0.16297486206423958,0.12446142696514982,359.8920198672278,1790.3660220235363
8.0,1824.9971999999993,264.96955058021115,2081.2356641344822,10.106912707593793,3.165611396424473e-17,0.14369513548048313,0.10387027768677205,333.82277803984795,1737.0584079738733
8.064,2171.9637999999995,275.103936679886,2004.3688403978376,9.406135334949795,1.2701789067350918e-17,0.126691030365513,0.08667983520356605,309.6089115106105,1685.1404226867082
8.128,1966.2891000000004,269.12938606200004,1930.6524200333452,8.753828552540392,5.0699153685259644e-18,0.11169467219672849,0.07232962378959752,287.1220041209172,1634.5925630639013
8.192,1494.474799999999,254.97436159889915,1859.9414459106795,8.146650564720913,2.013227529966932e-18,0.0984696175011483,0.060351310676023034,266.2421122896187,1585.3938621281627
8.256,1745.1596000000009,262.5650466773769,1792.0980320971746,7.581488983341267,7.953691019031246e-19,0.08680718036122259,0.05035360338750539,246.85725587935082,1537.5221264507338
8.32,1620.075600000001,258.8197623559174,1726.9910579990521,7.05544517255278,3.126476718990283e-19,0.07652318618565064,0.04200961329147389,228.86293325580547,1490.9541467712168
8.384,2140.5723000000003,274.2215971457798,1664.4958661564656,6.565819653016656,1.222865802509642e-19,0.06745510334979155,0.03504628449656267,212.1616603083432,1445.6658848072593
8.448,1635.3230000000021,259.27515253736965,1604.4939654836164,6.110098494701634,4.759546592250962e-20,0.059459508976968244,0.029235552013165633,196.66253303409246,1401.632638893832
8.512,1714.3462000000027,261.6749762130201,1546.8727413658644,5.685940632102778,1.843491728207426e-20,0.05240985015505473,0.02438694747700905,182.28081315580303,1358.8291907803266
8.576,1178.6981999999975,245.02419562502516,1491.525173705871,5.291166040062829,7.106092723653274e-21,0.046194466334337825,0.02034141638552994,168.93753614096119,1317.2299356421272
8.64,1430.1461,252.96396473412125,1438.349563741692,4.923744712448687,2.7262109025807215e-21,0.04071484259696833,0.01696614909784936,156.55914091147477,1276.8089971260738
8.704,1508.892299999999,255.40582080348102,1387.2492702340855,4.581786389746788,1.0410015553761158e-21,0.03588406698244589,0.014150259974680494,145.07712047573648,1237.5403290416452
8.768,1115.3416000000007,242.98038704978447,1338.1324554317202,4.2635309852067405,3.9566780517565334e-22,0.03162546814831445,0.011801175972200817,134.4276926746678,1199.3978051277252
8.832,879.428699999999,235.2240823822375,1290.9118410661376,3.967339662499132,1.4969977195767365e-22,0.027871412385741857,0.009841618585055873,124.55149020761577,1162.3552981650519
8.896,1367.0901999999996,251.00464091255364,1245.5044744985046,3.6916865209731826,5.638271244081139e-23,0.024562241436007097,0.00820708195773638,115.39326909021936,1126.3867495639183
8.96,1130.7752999999993,243.4800478130669,1201.8315050334897,3.4351508475186723,2.114112730409649e-23,0.02164533470179185,0.0068437258388066476,106.90163469250277,1091.4662304329277
9.024,973.0700999999985,238.32102858298234,1159.8179703285214,3.196409896764888,7.892057872395427e-24,0.01907428134819993,0.005706615333311208,99.02878450967374,1057.5679950254012
9.088,1115.0456000000008,242.97894257892878,1119.392592756341,2.9742321638996807,2.9332870758565163e-24,0.016808149470724756,0.00475825053061137,91.73026682888303,1024.666527363557
9.152,1036.7855000000013,240.44848883625025,1080.4875855226246,2.7674711167764854,1.0855328379482523e-24,0.014810840995883428,0.003967338396831043,84.96475447122984,992.7365817552255
9.216,832.3744999999981,233.67124982377018,1043.03846829629,2.5750593562045228,4.0001568255753623e-25,0.01305052229706962,0.0033077671159789882,78.69383280846026,961.7532178422122
9.28,768.6356000000001,231.49418672114575,1006.9838920761761,2.3960031753996915,1.467837446753842e-25,0.011499121672984431,0.002757749587534751,72.88180127718417,931.6918307523317
9.344,659.1726999999983,227.77048460395972,972.2654729923684,2.2293774915184814,5.363727603219556e-26,0.01013188586618773,0.00229910824711535,67.4954876392125,902.528176867524
9.408,831.8149999999973,233.64793821130354,938.8276347222438,2.0743211240140056,1.951928333729189e-26,0.008926988710318383,0.0019166779438002915,62.504074264147825,874.2383956674279
9.472,579.7237999999988,224.9900402951146,906.6174591891361,1.9300323962503574,7.074401617121373e-27,0.007865185800039169,0.001597807427850488,57.87893573907632,846.7990280605815
9.536,1004.3585000000007,239.37720881942099,875.5845452043405,1.795765038396119,2.5536667632541924e-27,0.006929509789907052,0.001331943197519089,53.593487139647664,820.1870315733094
9.6,548.9480000000003,223.94504174125788,845.680874710163,1.670824371097607,9.181361512842269e-28,0.006105001557892654,0.0011102821253254867,49.623042326603,794.3797927287792
9.664,312.3161999999993,215.45242008863636,816.8606862820976,1.554563750814067,3.2880445294726558e-28,0.005378473025700236,0.0009254815179284211,45.94468166160731,769.3551369151326
9.728,753.3886999999977,231.0204633138825,789.0803555513899,1.4463812589867744,1.1729382013020977e-28,0.004738297919802184,0.0007714171311054228,42.537128565797865,745.0913360115543
9.792,752.6976000000009,230.9762028898092,762.2982822146494,1.3457166184179534,4.168100919580006e-29,0.0041742271916690105,0.000642981222211997,39.38063437356341,721.5671140142541
9.856,878.2609000000007,235.2068551817465,736.47478330437,1.252048321359053,1.4755214016164515e-29,0.003677226199659877,0.0005359140269979073,36.45687096256232,698.761650880222
9.92,737.0956000000006,230.4565777947437,711.5719924028178,1.164890954856637,5.203736040947404e-30,0.0032393310942926373,0.00044666313777072455,33.74883066872748,676.6545847850017
