t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6,y_pulse7
12.416,451.536700000001,220.56732019637892,186.539866016886,0.04268616376603944,1.4068112137443816e-78,0.000766007632331356,5.6446476910677055e-05,1.9450450556654917,184.55131234334524,3.672850291603379e-41
12.48,498.71780000000126,222.24716456828952,180.35443761405367,0.039611135289879695,2.453496146501558e-79,0.0006873666564993217,4.869573666147809e-05,1.8027547942414988,178.51133562212914,1.9103516283834736e-41
12.544,309.898700000002,215.46423301735732,174.3755829500325,0.036757490337254346,4.266877298481619e-80,0.0006167919203855101,4.2008735474577204e-05,1.6708481949618,172.6673184640776,9.936085316240861e-42
12.608,341.2632999999987,216.60647620187265,168.59626788771598,0.03410930227415594,7.399863644728463e-81,0.0005534569190381271,3.6239562998133834e-05,1.5485698742625331,167.01299901469724,5.1678436055981397e-42
12.672,294.45699999999897,214.9183045460311,163.009708712681,0.03165178924176195,1.279792154287797e-81,0.0004966197352321569,3.1262310503810983e-05,1.4352191792141755,161.54230986217934,2.687791641301807e-42
12.736,90.37779999999839,207.33523571595373,157.60936241320601,0.029371231960385304,2.2073464925603202e-82,0.0004456143941793616,2.6968330976990945e-05,1.330146243099499,156.24937235542097,1.3978937234480694e-42
12.8,42.92210000000068,205.52213223739489,152.38891739149204,0.027254897427410503,3.796906517008953e-83,0.00039984310044209945,2.326387422864976e-05,1.2327483232341931,151.12849106385576,7.27017992814081e-43
12.864,403.7918000000004,218.86778556362154,147.3422845838245,0.0252909680872712,6.51374002437838e-84,0.00035876926719186194,2.006804574573999e-05,1.1424664010339562,146.17414837739034,3.781017945089524e-43
12.928,168.20989999999892,210.249051671326,142.463588968711,0.023468476081670495,1.1145117995602204e-84,0.00032191125708652777,1.731104500229369e-05,1.0587820257285454,141.3809992445987,1.966368989444089e-43
12.992,356.917899999999,217.19493248674675,137.7471614432419,0.021777242216240725,1.9019762170303958e-85,0.0002888367622476123,1.493264500305518e-05,0.9812143844243402,136.74386604719408,1.0226196043899233e-43
13.056,199.29589999999916,211.404632457692,133.187531049063,0.020207819305838915,3.2374562194096214e-86,0.00025915775819363346,1.2880880055494843e-05,0.9093175824290409,132.25773360868988,5.318095719426911e-44
13.12,419.8073999999997,219.46969774983125,128.779417530413,0.018751439584824354,5.496588315888877e-87,0.00023252597321247548,1.111091327704777e-05,0.8426781188807606,127.91774433506095,2.7656119251558036e-44
13.184,231.29909999999927,212.62056722135418,124.51772420768914,0.017399965891087613,9.308611422884166e-88,0.00020862882060985652,9.584059239555256e-06,0.7809125437747964,123.7191934851434,1.4382006988739048e-44
13.248,183.54929999999786,210.83024694645587,120.39753115093943,0.016145846353427064,1.5725001985077212e-88,0.0001871857466207789,8.266940516129238e-06,0.72366528345988,119.65752456843899,7.478956882082204e-45
13.312,-98.81810000000087,200.05308621367027,116.41408863857116,0.014982072331209026,2.6498555312135546e-89,0.0001679449515774144,7.130759799555537e-06,0.6706066225864598,115.7283248679421,3.8891612455890235e-45
13.376,105.01089999999976,207.89186784746374,112.56281088738601,0.013902139373208791,4.45441593172128e-90,0.00015068044624517415,6.1506717685484415e-06,0.6214308313373561,111.92732108555742,2.0223874505324988e-45
13.44,152.40979999999945,209.6892003311874,108.83927004084016,0.01290001097920604,7.469777376897029e-91,0.00013518940911823348,5.305241042801749e-06,0.5758544275599922,108.2503751076508,1.0516382405222588e-45
13.504,-83.41409999999905,200.65985194600327,105.23919040315126,0.011970084963397904,1.2496372273964548e-91,0.0001212898139510329,4.575974436596299e-06,0.5336145641534452,104.69347988824603,5.468422677913984e-46
13.568,89.46299999999928,207.32345176573207,101.7584429075669,0.011107162233072185,2.0855979048069786e-92,0.00010881829993315149,3.9469173340994635e-06,0.4944675327464418,101.25275544737012,2.8434891703901865e-46
13.632,261.9880000000012,213.7528641929232,98.39303980774804,0.010306417809340496,3.472628419310723e-93,9.762825972745995e-05,3.4043054023059865e-06,0.45818737533770026,97.92444498203587,1.478546460327692e-46
13.696,324.85390000000007,216.0557875164601,95.13912958182982,0.009563373929128966,5.768697675639081e-94,8.758812311785244e-05,2.936264059939189e-06,0.42456459616087333,94.70491108735264,7.68798209301678e-47
13.76,639.2208000000005,227.20686569068934,91.99299203929037,0.008873875079140588,9.560914879126575e-95,7.857981628219237e-05,2.5325491585699144e-06,0.39340496658583146,91.59063208525995,3.997457301190517e-47
13.824,-130.57779999999866,198.8260745922512,88.95103362129059,0.008234064823193606,1.5810065370316938e-95,7.049737874448453e-05,2.184323228181258e-06,0.36452841637903866,88.57819845838638,2.0784973669354527e-47
13.888,465.7252999999996,221.11160849385757,86.00978288565112,0.007640364294268738,2.608498622808201e-96,6.32457218911203e-05,1.8839624128072418e-06,0.337768005120866,85.66430938655168,1.0807105425487732e-47
13.952,-36.90739999999914,202.47913049929565,83.16588616810407,0.0070894522318145125,4.2941809516954445e-97,5.673951458048641e-05,1.6248898894561035e-06,0.3129689680193961,82.84576938344838,5.619059743038033e-48
14.016,245.99930000000177,213.18026198363776,80.41610341189966,0.006578246453419989,7.053631502662765e-98,5.090218285212534e-05,1.4014321397558488e-06,0.28998783077092893,80.11948503106032,2.921543446984488e-48
14.08,230.18339999999944,212.5966731768499,77.75730415826679,0.006103886657909154,1.156106037642729e-98,4.566501206811122e-05,1.2086949411222117e-06,0.2686915884990453,77.48246180940282,1.518992295414891e-48
14.144,-68.16740000000073,201.28207021214158,75.18646369061508,0.005663718464290294,1.89079607696624e-99,4.0966341010577524e-05,1.0424563735305084e-06,0.2489569441588519,74.93180101919455,7.897568432614808e-49
14.208,230.38960000000088,212.62158596834684,72.70065932573817,0.00525527859784324,3.0857685808971783e-100,3.675083852919879e-05,8.990745084832495e-07,0.2306696021227199,72.46469679510457,4.106065852393607e-49
14.272,182.836600000001,210.84537685591687,70.29706684562284,0.0048762811409878955,5.025312076706013e-101,3.296885429320589e-05,7.754077665448647e-07,0.21372361297018197,70.0784332072496,2.1347803064794874e-49
14.336,73.07939999999917,206.72877673019323,67.97295706379636,0.004524604772481538,8.166820426862294e-102,2.9575836065332414e-05,6.687462058024027e-07,0.19802076578934483,67.77038144865226,1.1098781664762473e-49
14.4,73.4073999999996,206.7561731186547,65.72569252045065,0.004198280923975467,1.3244708296295278e-102,2.653180668988675e-05,5.767522417996926e-07,0.18347002456164543,65.5379971064061,5.770219675354412e-50
14.464,339.5472,216.60391707325016,63.55272430087207,0.0038954827880504825,2.1435826155549087e-103,2.380089468291266e-05,4.974095050540049e-07,0.16998700544751938,63.37881751433231,2.9998834373257706e-50
14.528,324.2736000000009,216.06756146969002,61.45158897197935,0.0036145151165763232,3.462225789034401e-104,2.1350912937162584e-05,4.289787196648235e-07,0.15749349201881538,61.2904591849523,1.5595937282493615e-50
14.592,56.90530000000126,206.11274705769094,59.419905632027174,0.003353804752626953,5.580802546582584e-105,1.9152980615607557e-05,3.6995963961870063e-07,0.14591698569582687,59.27061531863846,8.10799960023437e-51
14.656,88.03860000000168,207.28820056022795,57.45537306877781,0.003111891843256304,8.977857292552691e-106,1.7181183810944913e-05,3.1905821150993355e-07,0.13519028884376638,57.317053387848766,4.215131872876528e-51
14.72,166.15509999999813,210.2143454410982,55.55576702166883,0.0028874216842197545,1.4414250200437417e-106,1.5412271000859957e-05,2.7515824640665986e-07,0.12525111816642384,55.427612794388935,2.1913103616028923e-51
14.784,245.17540000000008,213.16987682743877,53.718937543723264,0.002679137151237103,2.3097403814440636e-107,1.3825379734910302e-05,2.372969819753011e-07,0.11604174620463066,53.60020259769068,1.1391789837931794e-51
14.848,-6.382300000000214,203.68632467080906,51.942806459151086,0.0024858716756508215,3.693978432041355e-108,1.2401791353530762e-05,2.0464400087346455e-07,0.10750866890491188,51.83279931213517,5.922096074462925e-52
14.912,669.3536000000017,228.2739399324782,50.22536491278182,0.0023065427253586963,5.896493670485903e-109,1.1124710867033907e-05,1.7648304467972372e-07,0.09960229737019564,50.12344477149235,3.0786081219863957e-52
14.976,386.51850000000104,218.3265349568352,48.56467100765169,0.0021401457547080005,9.394414544215083e-110,9.979069416406853e-06,1.5219632584265734e-07,0.09227667204047071,48.470244058590765,1.600401370274408e-52
15.04,166.29889999999978,210.2468662820954,46.95884752723837,0.00198574858964531,1.4939291799316098e-110,8.951347001594963e-06,1.3125099467743344e-07,0.08548919767757414,46.87136349837316,8.319534417507593e-53
15.104,-132.24779999999964,198.78464597432,45.406079738999495,0.0018424862168358474,2.371278737134149e-111,8.02941339987342e-06,1.13187465503782e-07,0.07920039764554689,45.325028712536245,4.324787737445703e-53
