t,y_data,y_fit,residual
4.097449236596142,1.0309742841794633e-23,1.0309742841794633e-23,0.0
4.10194903752397,1.4036549192648878e-23,1.4036549192648878e-23,0.0
4.106448838451798,1.906109101794436e-23,1.906109101794436e-23,0.0
4.110948639379626,2.5818066410678018e-23,2.5818066410678018e-23,0.0
4.115448440307454,3.488202414034479e-23,3.488202414034479e-23,0.0
4.1199482412352815,4.70105014891089e-23,4.70105014891089e-23,0.0
4.12444804216311,6.319989457839768e-23,6.319989457839768e-23,0.0
4.128947843090938,8.475764921371637e-23,8.475764921371637e-23,0.0
4.133447644018766,1.133953231436278e-22,1.133953231436278e-22,0.0
4.137947444946594,1.5134827882416564e-22,1.5134827882416564e-22,0.0
4.142447245874422,2.0152927843999474e-22,2.0152927843999474e-22,0.0
4.14694704680225,2.677251426256046e-22,2.677251426256046e-22,0.0
4.151446847730078,3.5484798990991788e-22,3.5484798990991788e-22,0.0
4.155946648657906,4.692555039461149e-22,4.692555039461149e-22,0.0
4.160446449585734,6.191583124646792e-22,6.191583124646792e-22,0.0
4.164946250513562,8.151370666786405e-22,8.151370666786405e-22,0.0
4.1694460514413905,1.070797378167686e-21,1.070797378167686e-21,0.0
4.173945852369219,1.4035976390969413e-21,1.4035976390969413e-21,0.0
4.178445653297047,1.8358932076455103e-21,1.8358932076455103e-21,0.0
4.182945454224874,2.3962508297298453e-21,2.3962508297298453e-21,0.0
4.187445255152702,3.121099907322934e-21,3.121099907322934e-21,0.0
4.19194505608053,4.056802814036515e-21,4.056802814036515e-21,0.0
4.196444857008358,5.2622455015590715e-21,5.2622455015590715e-21,0.0
4.200944657936186,6.812072856357686e-21,6.812072856357686e-21,0.0
4.205444458864014,8.800721515974e-21,8.800721515974e-21,0.0
4.209944259791842,1.1347437165976582e-20,1.1347437165976582e-20,0.0
4.2144440607196705,1.4602504936364854e-20,1.4602504936364854e-20,0.0
4.218943861647498,1.875497185553139e-20,1.875497185553139e-20,0.0
4.223443662575326,2.4042201128440785e-20,2.4042201128440785e-20,0.0
4.227943463503154,3.0761671330396664e-20,3.0761671330396664e-20,0.0
4.232443264430982,3.928552186977366e-20,3.928552186977366e-20,0.0
4.23694306535881,5.0078452130886476e-20,5.0078452130886476e-20,0.0
4.241442866286638,6.371970893130656e-20,6.371970893130656e-20,0.0
4.245942667214466,8.093004928137171e-20,8.093004928137171e-20,0.0
4.250442468142294,1.0260474757526243e-19,1.0260474757526243e-19,0.0
4.254942269070122,1.2985393373589545e-19,1.2985393373589545e-19,0.0
4.2594420699979505,1.6405180787683173e-19,1.6405180787683173e-19,0.0
4.263941870925779,2.0689658521146416e-19,2.0689658521146416e-19,0.0
4.268441671853607,2.6048339096151415e-19,2.6048339096151415e-19,0.0
4.272941472781435,3.273927590646062e-19,3.273927590646062e-19,0.0
4.277441273709262,4.107979023895623e-19,4.107979023895623e-19,0.0
4.28194107463709,5.145945296869353e-19,5.145945296869353e-19,0.0
4.286440875564918,6.435577015790066e-19,6.435577015790066e-19,0.0
4.290940676492746,8.035310630007428e-19,8.035310630007428e-19,0.0
4.295440477420574,1.001654784000825e-18,1.001654784000825e-18,0.0
4.299940278348402,1.2466397093698741e-18,1.2466397093698741e-18,0.0
4.3044400792762305,1.5490965886243635e-18,1.5490965886243635e-18,0.0
4.308939880204059,1.921930864190593e-18,1.921930864190593e-18,0.0
4.313439681131886,2.3808153748601945e-18,2.3808153748601945e-18,0.0
4.317939482059714,2.9447555269604786e-18,2.9447555269604786e-18,0.0
4.322439282987542,3.636764046765739e-18,3.636764046765739e-18,0.0
4.32693908391537,4.484665411230637e-18,4.484665411230637e-18,0.0
4.331438884843198,5.522053525028826e-18,5.522053525028826e-18,0.0
4.335938685771026,6.789430244233611e-18,6.789430244233611e-18,0.0
4.340438486698854,8.335557025253642e-18,8.335557025253642e-18,0.0
4.344938287626682,1.021905739804442e-17,1.021905739804442e-17,0.0
4.3494380885545105,1.2510314234558105e-17,1.2510314234558105e-17,0.0
4.353937889482339,1.5293713031132444e-17,1.5293713031132444e-17,0.0
4.358437690410167,1.8670290787988296e-17,1.8670290787988296e-17,0.0
4.362937491337995,2.276085970988107e-17,2.276085970988107e-17,0.0
4.367437292265823,2.7709686049866607e-17,2.7709686049866607e-17,0.0
4.371937093193651,3.368881717721797e-17,3.368881717721797e-17,0.0
